Algorithm,Network,Scenario,Avg User Power,Min User Current,Max User Current,Std User Current,Avg Owner Current,Min Owner Current,Max Owner Current,Std Owner Current,Avg User Time,Min User Time,Max User Time,Std User Time,Avg Owner Time,Min Owner Time,Max Owner Time,Std Owner Time,Avg Consent,Min Consent,Max Consent,Std Consent,Avg Runtime,Min Runtime,Max Runtime,Std Runtime,Avg User Utility,Min User Utility,Max User Utility,Std User Utility,Avg Owner Utility,Min Owner Utility,Max Owner Utility,Std Owner Utility
alanezi,ble,university,10.19,9.67,10.71,0.52,17.69,16.79,18.59,0.9,2825.4,2680.95,2969.84,144.45,2825.4,2680.95,2969.84,144.45,41.44,39.45,43.44,1.99,569.64,493.63,645.65,76.01,32.02,30.34,33.7,1.68,18.43,17.47,19.4,0.96
alanezi,ble,hospital,0.7,0.69,0.72,0.02,1.23,1.2,1.25,0.03,195.84,191.36,200.31,4.47,195.84,191.36,200.31,4.47,98.75,98.53,98.97,0.22,1521.56,1487.97,1555.15,33.59,39.88,34.54,45.23,5.34,40.27,40.11,40.43,0.16
alanezi,ble,shopping_mall,1.4,1.29,1.5,0.1,2.42,2.24,2.59,0.17,386.17,358.71,413.63,27.46,386.17,358.71,413.63,27.46,26.11,25.1,27.12,1.01,694.06,614.05,774.07,80.01,20.62,19.72,21.51,0.9,11.91,11.38,12.44,0.53
alanezi,zigbee,university,1847.78,1840.89,1854.68,6.89,1860.65,1853.77,1867.53,6.88,21547.84,21482.78,21612.89,65.06,21547.84,21482.78,21612.89,65.06,100.0,100.0,100.0,0.0,617.44,588.11,646.78,29.33,12.58,12.14,13.03,0.44,67.22,67.11,67.32,0.1
alanezi,zigbee,hospital,53.22,51.96,54.47,1.25,53.58,52.32,54.84,1.26,619.12,604.93,633.31,14.19,619.12,604.93,633.31,14.19,98.75,98.53,98.97,0.22,1470.32,1452.64,1488.0,17.68,38.28,35.51,41.06,2.78,65.04,63.33,66.74,1.7
alanezi,zigbee,shopping_mall,254.79,242.98,266.6,11.81,256.62,244.84,268.39,11.77,2984.69,2875.14,3094.24,109.55,2984.69,2875.14,3094.24,109.55,63.92,63.67,64.18,0.26,930.42,916.31,944.53,14.11,48.2,48.0,48.41,0.2,48.2,48.19,48.2,0.01
alanezi,lora,university,20.39,20.28,20.5,0.11,8.74,8.69,8.78,0.04,794397.9,790237.84,798557.96,4160.06,794397.9,790237.84,798557.96,4160.06,100.0,99.99,100.0,0.01,575.66,558.94,592.39,16.72,11.77,11.35,12.2,0.42,149.49,149.36,149.61,0.12
alanezi,lora,hospital,0.59,0.58,0.6,0.01,0.26,0.25,0.26,0.01,22990.6,22419.03,23562.16,571.57,22990.6,22419.03,23562.16,571.57,98.75,98.53,98.97,0.22,1474.4,1468.32,1480.47,6.08,38.65,38.09,39.2,0.55,141.96,141.58,142.34,0.38
alanezi,lora,shopping_mall,4.31,4.13,4.5,0.19,1.85,1.77,1.93,0.08,168177.88,161036.43,175319.32,7141.45,168177.88,161036.43,175319.32,7141.45,99.96,99.93,100.0,0.03,808.06,740.77,875.35,67.29,13.34,12.45,14.23,0.89,156.47,154.24,158.7,2.23
cunche,ble,university,3.28,3.22,3.35,0.06,18.37,18.0,18.74,0.37,2924.72,2865.42,2984.02,59.3,2925.59,2866.27,2984.91,59.32,42.9,42.16,43.64,0.74,580.84,574.27,587.42,6.57,33.56,32.97,34.15,0.59,6.11,6.0,6.22,0.11
cunche,ble,hospital,0.22,0.22,0.23,0.01,1.23,1.21,1.26,0.03,197.34,193.35,201.33,3.99,197.4,193.41,201.39,3.99,99.51,99.02,100.0,0.49,1493.64,1464.04,1523.24,29.6,68.19,66.71,69.67,1.48,12.72,12.48,12.96,0.24
cunche,ble,shopping_mall,0.48,0.45,0.5,0.02,2.68,2.54,2.81,0.14,425.58,403.65,447.5,21.93,425.7,403.77,447.64,21.94,28.8,28.24,29.35,0.56,752.94,742.61,763.28,10.33,23.43,22.86,24.0,0.57,4.24,4.15,4.32,0.08
